2024-07-05 20:32:43 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='password']
2024-07-05 20:32:43 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='password']
2024-07-05 20:32:44 INFO  TestBase:90 - Finding an element:By.xpath: //button[@type='submit']
2024-07-05 20:32:44 INFO  TestBase:96 - Found an element:By.xpath: //button[@type='submit']
2024-07-05 20:32:56 INFO  TestBase:90 - Finding an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:32:56 INFO  TestBase:96 - Found an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:32:56 INFO  TestBase:102 - Clicking on element:button
2024-07-05 20:33:02 INFO  TestBase:90 - Finding an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:33:02 INFO  TestBase:96 - Found an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:33:06 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:33:06 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:36:44 INFO  TestBase:42 - navigating to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:36:46 INFO  TestBase:48 - navigated to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:36:46 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='username']
2024-07-05 20:36:46 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='username']
2024-07-05 20:36:46 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='password']
2024-07-05 20:36:46 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='password']
2024-07-05 20:36:46 INFO  TestBase:90 - Finding an element:By.xpath: //button[@type='submit']
2024-07-05 20:36:46 INFO  TestBase:96 - Found an element:By.xpath: //button[@type='submit']
2024-07-05 20:36:54 INFO  TestBase:90 - Finding an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:36:55 INFO  TestBase:96 - Found an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:36:55 INFO  TestBase:102 - Clicking on element:button
2024-07-05 20:36:58 INFO  TestBase:90 - Finding an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:36:58 INFO  TestBase:96 - Found an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:37:01 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:37:01 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:37:01 INFO  TestBase:102 - Clicking on element:div
2024-07-05 20:37:03 INFO  TestBase:90 - Finding an element:By.xpath: //div[text()='CAN - Personal']
2024-07-05 20:40:04 INFO  TestBase:42 - navigating to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:40:06 INFO  TestBase:48 - navigated to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:40:06 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='username']
2024-07-05 20:40:07 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='username']
2024-07-05 20:40:07 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='password']
2024-07-05 20:40:07 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='password']
2024-07-05 20:40:07 INFO  TestBase:90 - Finding an element:By.xpath: //button[@type='submit']
2024-07-05 20:40:07 INFO  TestBase:96 - Found an element:By.xpath: //button[@type='submit']
2024-07-05 20:40:15 INFO  TestBase:90 - Finding an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:40:15 INFO  TestBase:96 - Found an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:40:15 INFO  TestBase:102 - Clicking on element:button
2024-07-05 20:40:20 INFO  TestBase:90 - Finding an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:40:20 INFO  TestBase:96 - Found an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:40:24 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:40:24 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:40:24 INFO  TestBase:102 - Clicking on element:div
2024-07-05 20:40:27 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:40:27 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:40:27 INFO  TestBase:102 - Clicking on element:div
2024-07-05 20:40:34 INFO  TestBase:90 - Finding an element:By.cssSelector: #app div.oxd-layout div.oxd-layout-container div.oxd-layout-context div div form div:nth-child(3) div div:nth-child(1) div div:nth-child(2) div div input
2024-07-05 20:40:35 INFO  TestBase:96 - Found an element:By.cssSelector: #app div.oxd-layout div.oxd-layout-container div.oxd-layout-context div div form div:nth-child(3) div div:nth-child(1) div div:nth-child(2) div div input
